"image","xmin","ymin","xmax","ymax","label"
"TCGA_DU_A5TR_19970726_13.png",147.7322695035461,103.51063829787233,185.7836879432624,134.98758865248226,"abnormal"
"TCGA_DU_A5TR_19970726_12.png",147.76241134751774,103.45567375886525,184.88475177304966,129.28900709219857,"abnormal"
"TCGA_DU_A5TR_19970726_14.png",149.52836879432624,95.78014184397163,185.91666666666666,142.37234042553192,"abnormal"
"TCGA_DU_A5TR_19970726_18.png",142.49212598425197,99.56496062992126,195.5748031496063,183.96456692913387,"abnormal"
"TCGA_DU_A5TR_19970726_17.png",139.0275590551181,96.56496062992126,190.48818897637796,185.4488188976378,"abnormal"
"TCGA_DU_A5TR_19970726_15.png",149.02165354330708,93.80511811023622,187.25393700787401,158.28346456692913,"abnormal"
"TCGA_DU_A5TR_19970726_16.png",144.79330708661416,91.80511811023622,190.49015748031496,181.21653543307087,"abnormal"
"TCGA_DU_A5TR_19970726_19.png",135.53740157480314,108.98228346456693,192.18700787401573,202.86614173228347,"abnormal"
"TCGA_DU_A5TR_19970726_21.png",137.74015748031496,95.98622047244095,187.73622047244095,200.30905511811022,"abnormal"
"TCGA_DU_A5TR_19970726_23.png",146.33464566929135,97.73031496062993,174.25787401574803,151.82677165354332,"abnormal"
"TCGA_DU_A5TR_19970726_23.png",148.06299212598424,173.25984251968504,167.25984251968504,190.70866141732284,"abnormal"
"TCGA_DU_A5TR_19970726_20.png",133.99212598425197,95.0748031496063,187.22834645669292,193.99015748031496,"abnormal"
"TCGA_DU_A5TR_19970726_24.png",145.97834645669292,99.31889763779527,170.81299212598427,155.40944881889763,"abnormal"
"TCGA_DU_A5TR_19970726_24.png",147.71850393700788,173.10433070866142,165.11220472440945,192.25590551181102,"abnormal"
"TCGA_DU_A5TR_19970726_26.png",146.51696606786425,176.49301397205588,157.32135728542912,188.86027944111774,"abnormal"
"TCGA_DU_A5TR_19970726_25.png",148.62992125984252,108.30314960629921,168.42125984251967,151.17913385826773,"abnormal"
"TCGA_DU_A5TR_19970726_25.png",142.31496062992125,168.7736220472441,160.53346456692913,186.4291338582677,"abnormal"
"TCGA_DU_A5TS_19970726_13.png",73.08982035928143,88.7944111776447,116.44910179640718,144.09381237524948,"abnormal"
"TCGA_DU_A5TS_19970726_14.png",74.10179640718562,64.76047904191616,137.18762475049897,146.9321357285429,"abnormal"
"TCGA_DU_A5TS_19970726_12.png",77.10379241516965,88.19960079840318,120.67065868263472,141.0079840319361,"abnormal"
"TCGA_DU_A5TS_19970726_11.png",77.68662674650697,92.05988023952095,114.42315369261476,142.72255489021956,"abnormal"
"TCGA_DU_A5TS_19970726_15.png",71.58882235528941,66.87824351297405,141.44111776447104,156.94011976047904,"abnormal"
"TCGA_DU_A5TS_19970726_19.png",77.04590818363273,64.35329341317365,143.01197604790417,152.9121756487026,"abnormal"
"TCGA_DU_A5TS_19970726_16.png",72.67265469061876,60.78243512974051,140.19361277445108,157.42914171656685,"abnormal"
"TCGA_DU_A5TS_19970726_18.png",79.40918163672654,57.66467065868263,141.81037924151696,150.34930139720558,"abnormal"
"TCGA_DU_A5TS_19970726_17.png",74.72455089820359,56.62874251497006,144.57085828343313,155.49500998003992,"abnormal"
"TCGA_DU_A5TS_19970726_20.png",79.8383233532934,68.02994011976047,130.4630738522954,150.74650698602792,"abnormal"
"TCGA_DU_A5TS_19970726_21.png",86.80838323353292,73.10778443113772,126.60878243512973,129.73852295409182,"abnormal"
"TCGA_DU_A5TS_19970726_22.png",96.06986027944112,81.37125748502993,122.57684630738522,127.73453093812374,"abnormal"
"TCGA_DU_A5TS_19970726_9.png",78.7824351297405,89.3253493013972,109.9201596806387,131.10978043912175,"abnormal"
"TCGA_DU_A5TT_19980318_39.png",158.85229540918164,112.97005988023952,175.7065868263473,127.4750499001996,"abnormal"
"TCGA_DU_A5TT_19980318_42.png",150.9441117764471,109.50698602794411,180.27145708582833,141.7065868263473,"abnormal"
"TCGA_DU_A5TT_19980318_41.png",153.00998003992015,107.40918163672654,180.39720558882235,132.44111776447104,"abnormal"
"TCGA_DU_A5TT_19980318_43.png",153.23552894211576,107.31736526946106,182.09181636726547,146.688622754491,"abnormal"
"TCGA_DU_A5TT_19980318_46.png",151.09580838323353,108.8882235528942,179.0878243512974,151.4211576846307,"abnormal"
"TCGA_DU_A5TT_19980318_48.png",151.22954091816365,107.87824351297404,182.4331337325349,151.07185628742513,"abnormal"
"TCGA_DU_A5TT_19980318_44.png",152.07984031936127,108.34730538922155,184.23952095808383,148.43712574850298,"abnormal"
"TCGA_DU_A5TT_19980318_47.png",150.5768463073852,107.71856287425149,181.69061876247503,151.15369261477045,"abnormal"
"TCGA_DU_A5TT_19980318_45.png",150.46906187624748,107.77644710578842,183.53493013972053,149.39520958083833,"abnormal"
"TCGA_DU_A5TT_19980318_50.png",144.0199600798403,105.65469061876247,178.31536926147703,154.89021956087822,"abnormal"
"TCGA_DU_A5TT_19980318_51.png",142.14770459081836,106.74650698602794,178.1377245508982,154.01397205588822,"abnormal"
"TCGA_DU_A5TT_19980318_49.png",148.58083832335328,107.92814371257484,179.51696606786425,154.57085828343313,"abnormal"
"TCGA_DU_A5TT_19980318_52.png",144.12774451097803,117.11576846307385,181.6946107784431,158.17365269461078,"abnormal"
