"","image","xmin","ymin","xmax","ymax","label"
"1","TCGA_CS_4941_19960909_12.jpeg",81.6766055045872,51.6834862385321,136.159403669725,117.356651376147,"abnormal part"
"2","TCGA_CS_4941_19960909_11.jpeg",81.0389908256881,52.829128440367,135.521788990826,116.191513761468,"abnormal part"
"3","TCGA_CS_4941_19960909_13.jpeg",76.8245412844037,44.8532110091743,136.633027522936,122.54128440367,"abnormal part"
"4","TCGA_CS_4941_19960909_14.jpeg",71.3004587155963,45.7821100917431,139.321100917431,118.542431192661,"abnormal part"
"5","TCGA_CS_4941_19960909_15.jpeg",62.0699541284404,41.2660550458716,142.634174311927,106.091743119266,"abnormal part"
"6","TCGA_CS_4941_19960909_17.jpeg",67.3979357798165,79.8887614678899,94.0011467889908,111.663990825688,"abnormal part"
"7","TCGA_CS_4941_19960909_16.jpeg",60.4426605504587,50.8864678899083,110.654816513761,115.40252293578,"abnormal part"
"8","TCGA_CS_4941_19960909_18.jpeg",70.4116972477064,97.7316513761468,77.4988532110092,105.525229357798,"abnormal part"
"9","TCGA_CS_4942_19970222_10.jpeg",71.901376146789,94.480504587156,100.956422018349,154.714449541284,"abnormal part"
"10","TCGA_CS_4942_19970222_11.jpeg",72.3256880733945,95.6594036697248,103.600917431193,155.386467889908,"abnormal part"
"11","TCGA_CS_4942_19970222_12.jpeg",72.8566513761468,99.0470183486239,105.782110091743,155.621559633028,"abnormal part"
"12","TCGA_CS_4942_19970222_13.jpeg",71.3360091743119,104.589449541284,107.223623853211,154.016055045872,"abnormal part"
"13","TCGA_CS_4942_19970222_14.jpeg",74.4942660550459,118.616972477064,106.642201834862,147.690366972477,"abnormal part"
"14","TCGA_CS_4943_20000902_12.jpeg",150.836009174312,101.883027522936,164.933486238532,154.933486238532,"abnormal part"
"15","TCGA_CS_4943_20000902_13.jpeg",138.657110091743,115.883027522936,171.235091743119,154.612385321101,"abnormal part"
"16","TCGA_CS_4943_20000902_14.jpeg",139.933486238532,109.108944954128,183.521788990826,169.436926605505,"abnormal part"
"17","TCGA_CS_4943_20000902_17.jpeg",129.80504587156,102.629587155963,184.81880733945,170.175458715596,"abnormal part"
"18","TCGA_CS_4943_20000902_16.jpeg",130.674311926606,102.829128440367,190.922018348624,168.782110091743,"abnormal part"
"19","TCGA_CS_4943_20000902_15.jpeg",130.675458715596,108.172018348624,189.610091743119,168.340596330275,"abnormal part"
"20","TCGA_CS_4943_20000902_18.jpeg",125.563073394495,104.5,175.454128440367,172.237385321101,"abnormal part"
"21","TCGA_CS_4943_20000902_19.jpeg",129.654816513761,116.404816513761,160.469036697248,165.567660550459,"abnormal part"
